Row Labels,Count of rating
296,333
356,321
318,310
480,307
593,299
260,265
1,263
2571,247
589,244
110,244
457,241
527,233
150,231
780,230
50,229
592,223
2858,221
32,220
1196,218
1210,218
1270,215
1198,215
588,207
47,206
608,205
380,202
377,201
4993,201
2959,198
590,198
364,195
344,194
858,194
2762,193
648,190
595,182
5952,181
7153,178
1197,176
3578,176
597,175
4306,172
1580,171
2028,169
1265,164
153,164
1097,163
1136,162
500,162
1214,161
2716,160
367,159
165,157
733,157
541,155
1073,154
1291,153
1704,152
231,151
34,149
316,149
586,148
1721,148
1240,146
4226,146
1036,146
349,145
1193,144
539,144
357,143
587,143
736,143
10,142
924,139
3793,138
208,138
750,138
2628,137
39,135
4886,135
6539,134
1682,134
1089,134
1617,134
2997,132
1527,132
1213,131
2683,130
223,130
1200,130
6377,130
3996,129
253,129
1206,129
4963,128
1221,128
1923,125
2396,124
1517,124
6,124
2706,123
21,123
778,122
7361,122
2329,122
6874,121
2355,121
434,121
329,121
1732,119
1784,119
912,119
5445,118
292,118
293,117
2918,117
4973,116
1258,116
4995,116
1968,116
2797,116
3114,116
5349,114
1917,112
8961,112
2502,111
58559,111
1220,111
1259,110
33794,110
1307,110
551,110
1208,110
3147,109
1387,109
1961,109
2012,109
5418,108
2791,108
339,108
19,108
161,108
1080,108
2,107
2115,107
2291,107
62,107
4027,106
95,106
111,106
3897,105
4022,103
1393,103
2987,103
1222,102
185,102
919,101
2011,101
904,100
1225,100
2174,100
454,99
141,99
1079,99
7438,99
1610,99
25,98
1246,97
442,97
508,97
2617,96
300,96
788,96
1485,95
36,95
16,95
1584,94
1391,94
1573,94
5378,94
1101,93
440,93
1219,93
1247,93
2000,92
1148,92
2916,91
288,91
5989,90
594,90
3408,90
3751,89
104,89
1407,89
4878,89
17,89
2710,89
1394,88
923,88
474,88
1230,87
1356,87
410,87
353,87
2324,85
6365,85
1625,85
2268,85
317,85
8360,84
908,84
786,84
2302,84
6711,84
8665,83
4011,83
1028,83
1234,82
3977,82
1183,82
8636,81
6333,81
1201,81
1641,81
2700,80
1278,80
3481,80
509,80
337,80
368,79
3948,79
2054,79
33493,79
4034,79
1320,79
903,79
11,79
1380,78
2699,78
4896,78
1288,78
2081,78
3052,77
3623,77
1653,77
1252,77
1127,77
2353,77
44191,77
163,77
1954,76
520,76
160,76
1304,76
1199,75
553,75
2194,75
173,75
3949,75
1207,75
1035,74
2692,74
1676,74
1276,74
435,74
2406,74
4246,74
2657,74
1377,73
32587,73
2640,73
3253,72
420,72
3471,72
1673,72
1203,72
1204,71
1090,71
3753,71
1639,71
1690,71
235,71
555,71
3175,71
2671,71
8874,70
1997,70
1370,70
2542,70
1250,70
6502,70
266,70
432,70
913,70
832,69
2321,69
784,69
5816,69
54286,69
953,69
6934,69
79132,68
5060,68
1374,68
3527,68
59315,68
2006,67
3176,67
653,67
1233,67
4979,67
1500,67
70,67
920,67
708,67
1777,66
35836,66
2712,66
49272,66
370,66
3081,66
4085,65
4308,65
2470,65
5618,65
2985,65
2019,65
3911,65
48516,64
7147,64
745,64
1544,64
1262,64
485,64
5669,64
6016,64
2407,63
1285,63
1552,63
172,63
1396,63
3160,63
1376,63
497,63
1597,63
1608,62
1876,62
1748,62
596,62
1645,62
3101,62
2395,62
48780,61
1408,61
1266,61
4014,61
345,61
2003,61
3448,61
2572,61
3421,61
350,61
3033,61
236,60
552,60
5218,60
3994,60
466,60
1215,59
8368,59
805,59
2294,59
3,59
5299,59
1282,59
5481,59
1333,58
1242,58
265,58
2100,58
5,58
46578,58
1747,58
2804,58
2947,58
342,58
2599,58
5995,58
4370,58
60069,58
471,58
2167,58
196,58
158,58
56367,57
51662,57
2424,57
1302,57
55820,57
1569,57
225,57
8644,57
1722,57
3039,57
1375,56
6863,56
2001,56
1092,56
1729,56
494,56
5010,56
2023,56
1228,56
2193,55
7254,55
5502,55
72998,55
1358,55
543,55
1094,55
1674,55
3671,55
168,55
1466,54
48394,54
3499,54
1084,54
2105,54
1088,54
8464,54
910,54
112,54
1909,54
673,54
52,54
2455,54
151,54
4848,53
2144,53
762,53
6373,53
2529,53
529,53
3418,53
2763,53
40815,52
1371,52
68954,52
33166,52
1884,52
2273,51
5377,51
48,51
1372,51
2770,51
2021,51
1293,51
7,51
802,51
2890,51
2539,51
145,51
45722,50
783,50
899,50
315,50
5902,50
1275,50
44,50
2248,50
902,50
3552,50
68157,50
333,49
2005,49
969,49
1223,49
4025,49
376,49
30707,49
2161,49
1060,48
4720,48
252,48
6807,48
7143,48
58,48
2160,48
1562,48
50872,48
44195,48
1263,48
246,48
4018,48
3702,48
1405,48
720,48
48774,48
1339,47
3363,47
8784,47
45,47
2701,47
475,47
515,47
2717,47
1077,46
1343,46
3755,46
785,46
2420,46
661,46
852,46
355,46
3000,46
180,46
22,45
2641,45
1921,45
5991,45
186,45
628,45
1267,45
2300,45
3535,45
431,45
2150,45
70286,45
48385,45
6942,45
3489,45
1231,45
4262,45
3255,45
6378,45
2078,44
1059,44
849,44
69122,44
1172,44
2359,44
6218,44
1953,44
1120,44
30749,44
2278,44
1271,44
610,44
34162,44
41566,44
2085,44
6870,44
5679,43
2288,43
724,43
2788,43
4270,43
1345,43
1027,43
4447,43
303,43
3107,43
2080,43
3752,43
3785,43
2058,42
105,42
2076,42
5630,42
2724,42
3362,42
1962,42
3108,42
1967,42
4718,42
1129,42
256,42
2761,42
2064,42
63082,42
3256,42
4310,42
1244,41
3863,41
54503,41
3082,41
3703,41
2124,41
4571,41
1367,41
1663,41
306,41
2336,41
3275,41
1022,41
198,41
68358,41
51255,41
216,41
5459,41
3916,41
2694,41
838,40
2968,40
2501,40
2109,40
914,40
4816,40
1249,40
2722,40
1831,40
2871,40
8622,40
282,40
4975,40
4643,40
6537,40
954,40
204,40
2723,40
30793,39
8376,39
7090,39
1274,39
2313,39
1911,39
2908,39
1957,39
7293,39
1994,39
8798,39
2002,39
34048,39
3809,38
1907,38
4367,38
1292,38
8949,38
1441,38
1029,38
2087,38
1093,38
2108,38
1918,38
1586,38
3556,38
2541,38
3868,38
224,38
1042,38
34405,38
1061,38
1882,38
1188,38
69757,38
1269,38
3072,38
1947,38
3174,38
1261,38
3210,38
2746,38
2881,38
1235,38
1373,37
968,37
413,37
524,37
3717,37
4321,37
585,37
4361,37
2018,37
47610,37
2490,37
1717,37
8970,37
348,37
30812,37
261,37
3967,37
3105,37
46976,37
1287,37
2393,37
2949,37
3020,37
3624,37
6281,36
3386,36
64614,36
441,36
4223,36
1513,36
3006,36
455,36
3252,36
616,36
1296,36
273,36
5903,36
277,36
1186,36
2411,36
3247,36
1095,35
1212,35
5956,35
2944,35
909,35
2140,35
5810,35
3060,35
307,35
2289,35
45517,35
1378,35
5266,35
1590,35
5464,35
671,35
2605,35
4002,35
898,35
1032,35
372,35
4148,35
41569,35
2580,35
52973,35
4776,35
1086,35
930,35
31,34
1298,34
33679,34
719,34
1272,34
2826,34
647,34
2953,34
2686,34
2116,34
468,34
2133,34
2366,34
327,34
2409,34
3396,34
1321,34
3745,34
45499,34
2145,34
29,34
1037,34
81845,33
1449,33
7502,33
3698,33
3504,33
107,33
1945,33
135,33
379,33
2371,33
2948,33
3638,33
2707,33
2410,33
2094,33
1284,33
4128,32
1299,32
2581,32
799,32
74458,32
3087,32
8528,32
5013,32
1256,32
319,32
56174,32
3148,32
2795,32
89745,32
2096,32
1125,32
1350,32
3005,32
2082,32
2139,32
4239,32
2431,32
2067,32
2471,32
1047,32
830,32
4344,32
6953,32
1965,32
3424,32
1100,31
55765,31
1357,31
741,31
1020,31
2398,31
1185,31
2423,31
40819,31
2478,31
1952,31
2792,31
1982,31
2915,31
362,31
922,31
1438,31
79,31
33004,31
3098,31
1347,31
3100,31
3608,31
1912,31
538,30
54001,30
8957,30
546,30
1297,30
1644,30
7458,30
222,30
2231,30
308,30
73017,30
2232,30
91529,30
1680,30
6947,30
272,30
2421,30
1779,30
2186,30
2352,30
2528,30
1805,30
54997,30
3317,30
3507,30
247,30
3704,29
1591,29
53996,29
4369,29
81591,29
2616,29
49530,29
4641,29
54272,29
2405,29
78499,29
5954,29
1499,29
6323,29
44199,29
3354,29
3740,29
2872,29
3826,29
3617,29
562,29
1254,29
916,29
1253,29
80463,29
24,29
1479,29
4446,29
5971,28
1409,28
926,28
1179,28
1245,28
6787,28
3510,28
1587,28
4874,28
707,28
56782,28
3730,28
1248,28
2413,28
800,28
2739,28
2378,28
765,28
531,28
2384,28
2335,28
8641,28
1103,28
2394,28
1243,28
2664,28
2134,28
8984,28
2642,28
3361,28
2688,28
2951,28
1175,28
162,28
3697,28
4033,28
3555,27
1342,27
3273,27
60,27
3435,27
1041,27
3186,27
4638,27
30810,27
230,27
44555,27
4734,27
2728,27
2986,27
1588,27
249,27
1801,27
2004,27
27773,27
2010,27
237,27
928,27
280,27
232,27
880,27
1124,27
55247,27
1411,27
3526,27
2046,27
76251,27
933,27
3168,27
60684,26
18,26
1104,26
77561,26
1033,26
1260,26
71535,26
836,26
417,26
5064,26
