,filmid,raiting,tittle
0,93729.0,5.0,Pageant (2008)
1,90524.0,5.0,Abduction (2011)
2,88468.0,5.0,Alpha and Omega (2010)
3,88674.0,5.0,Edison Kinetoscopic Record of a Sneeze (1894)
4,26325.0,5.0,Hearts and Minds (1974)
5,88812.0,5.0,30 Minutes or Less (2011)
6,89018.0,5.0,Miranda (1948)
7,26208.0,5.0,My Night At Maud's (Ma Nuit Chez Maud) (1969)
8,89337.0,5.0,"Interrupters, The (2011)"
9,89367.0,5.0,Restraint (2008)
10,89678.0,5.0,Northanger Abbey (2007)
11,26082.0,5.0,Harakiri (Seppuku) (1962)
12,25954.0,5.0,Orpheus (Orphée) (1950)
13,25918.0,5.0,"Tree Grows in Brooklyn, A (1945)"
14,1675.0,5.0,Incognito (1997)
15,402.0,5.0,Open Season (1996)
16,87876.0,5.0,Cars 2 (2011)
17,90576.0,5.0,What's Your Number? (2011)
18,90645.0,5.0,Anonymous (2011)
19,90717.0,5.0,Tower Heist (2011)
20,391.0,5.0,Jason's Lyric (1994)
21,90863.0,5.0,George Harrison: Living in the Material World (2011)
22,25868.0,5.0,Ball of Fire (1941)
23,25852.0,5.0,Gaslight (1940)
24,91386.0,5.0,Happy Feet Two (2011)
25,91488.0,5.0,"Snowman, The (1982)"
26,91548.0,5.0,Life in a Day (2011)
27,91671.0,5.0,Alvin and the Chipmunks: Chipwrecked (2011)
28,91749.0,5.0,Sophie's Revenge (Fei chang wan mei) (2009)
29,25766.0,5.0,"Crowd, The (1928)"
30,87960.0,5.0,Between the Folds (2008)
31,1585.0,5.0,Love Serenade (1996)
32,93008.0,5.0,"Very Potter Sequel, A (2010)"
33,85261.0,5.0,Mars Needs Moms (2011)
34,82337.0,5.0,Four Heads Are Better Than One (Un homme de tête) (1898)
35,82362.0,5.0,"Pyramid of Triboulet, The (La pyramide de Triboulet) (1899)"
36,82722.0,5.0,"Sarah, Plain and Tall (1991)"
37,1412.0,5.0,Some Mother's Son (1996)
38,82739.0,5.0,"Garfield Christmas Special, A (1987)"
39,30800.0,5.0,"Wrong Box, The (1966)"
40,83302.0,5.0,Last Night (2010)
41,27922.0,5.0,Jerry Seinfeld: 'I'm Telling You for the Last Time' (1998)
42,27784.0,5.0,One Missed Call (Chakushin ari) (2003)
43,84173.0,5.0,Ca$h (2008)
44,27758.0,5.0,"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood (2003)"
45,27619.0,5.0,"Lion King 1½, The (2004)"
46,84847.0,5.0,Emma (2009)
47,27420.0,5.0,Teknolust (2002)
48,87105.0,5.0,Open Season 3 (2010)
49,85394.0,5.0,Cave of Forgotten Dreams (2010)
50,27044.0,5.0,Breast Men (1997)
51,85438.0,5.0,Jane Eyre (2011)
52,26999.0,5.0,"Lion King II: Simba's Pride, The (1998)"
53,1533.0,5.0,"Promise, The (La promesse) (1996)"
54,26962.0,5.0,American Perfekt (1997)
55,85777.0,5.0,Death Note 2: The Last Name (2006)
56,26810.0,5.0,Bad Boy Bubby (1993)
57,85788.0,5.0,Insidious (2010)
58,26720.0,5.0,Closet Land (1991)
59,86715.0,5.0,Daughters of Darkness (Les lèvres rouges) (1971)
60,26694.0,5.0,Ju Dou (1990)
61,87004.0,5.0,Pina (2011)
62,93006.0,5.0,"Very Potter Musical, A (2009)"
63,25763.0,5.0,"Pandora's Box (Büchse der Pandora, Die) (1929)"
64,95837.0,5.0,"Child's Christmas in Wales, A (1987)"
65,95480.0,5.0,Disneyland Dream (1956)
66,95115.0,5.0,Inauguration of the Pleasure Dome (1954)
67,326.0,5.0,To Live (Huozhe) (1994)
68,95135.0,5.0,Your Sister's Sister (2011)
69,1844.0,5.0,Live Flesh (Carne trémula) (1997)
70,8444.0,5.0,"Chipmunk Adventure, The (1987)"
71,95170.0,5.0,Beauty and the Beast: The Enchanted Christmas (1997)
72,95175.0,5.0,Front of the Class (2008)
73,1859.0,5.0,Taste of Cherry (Ta'm e guilass) (1997)
74,95177.0,5.0,Alcina (2000)
75,95311.0,5.0,Presto (2008)
76,8405.0,5.0,Hour of the Wolf (Vargtimmen) (1968)
77,8391.0,5.0,Big Wednesday (1978)
78,95446.0,5.0,Tin Toy (1988)
79,309.0,5.0,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
80,94972.0,5.0,"Best of Ernie and Bert, The (1988)"
81,95482.0,5.0,Disney Sing Along Songs: Under the Sea (1990)
82,8388.0,5.0,Ring of Bright Water (1969)
83,95517.0,5.0,"Barchester Chronicles, The (1982)"
84,95541.0,5.0,Blacksmith Scene (1893)
85,8235.0,5.0,Safety Last! (1923)
86,95600.0,5.0,Candles on Bay Street (2006) 
87,95606.0,5.0,Thomas Jefferson (1997)
88,297.0,5.0,Panther (1995)
89,95628.0,5.0,Red's Dream (1987)
90,95654.0,5.0,Geri's Game (1997)
91,7938.0,5.0,Winter Light (Nattvardsgästerna) (1963)
92,95738.0,5.0,"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)"
93,95740.0,5.0,"Adventures of Mary-Kate and Ashley, The: The Case of the United States Navy Adventure (1997)"
94,95113.0,5.0,Eaux d'artifice (1953)
95,1825.0,5.0,"Player's Club, The (1998)"
96,93324.0,5.0,Undefeated (2011)
97,94394.0,5.0,"Scarlet Letter, The (1979)"
98,93707.0,5.0,Prom Queen: The Marc Hall Story (2004)
99,790.0,5.0,"Unforgettable Summer, An (Un été inoubliable) (1994)"
100,93731.0,5.0,"Warm December, A (1973)"
101,1744.0,5.0,Firestorm (1998)
102,93865.0,5.0,Frankenstein (1910)
103,1771.0,5.0,Night Flier (1997)
104,93948.0,5.0,Midnight Movie (2008)
105,93950.0,5.0,Ollie Hopnoodle's Haven of Bliss (1988)
106,93967.0,5.0,"Keeping the Promise (Sign of the Beaver, The) (1997)"
107,94027.0,5.0,Uwasa No Onna (The Woman in the Rumor) (Her Mother's Profession) (1954)
108,94153.0,5.0,Cold Storage (2000)
109,94190.0,5.0,Aakrosh (2010)
110,94192.0,5.0,Devil's Diary (2007)
111,94410.0,5.0,Hamlet (2009)
112,94951.0,5.0,Dickson Experimental Sound Film (1894)
113,94421.0,5.0,Fruitcake (2003)
114,94431.0,5.0,"Ella Lola, a la Trilby (1898)"
115,8619.0,5.0,Sister My Sister (1994)
116,1809.0,5.0,Fireworks (Hana-bi) (1997)
117,94657.0,5.0,"Turkish Dance, Ella Lola (1898)"
118,94659.0,5.0,Walking with Prehistoric Beasts (2001)
119,94681.0,5.0,Boys Love (2006)
120,94735.0,5.0,Walking with Monsters (2005)
121,1811.0,5.0,"Niagara, Niagara (1997)"
122,94737.0,5.0,"Boys Diving, Honolulu (1901)"
123,8580.0,5.0,Into the Woods (1991)
124,94928.0,5.0,Just Friends? (2010)
125,94949.0,5.0,Boy Meets Boy (2008)
126,1400.0,5.0,Somebody is Waiting (1996)
127,31539.0,5.0,Overnight (2003)
128,81736.0,5.0,Hamlet (Gamlet) (1964)
129,1038.0,5.0,Unhook the Stars (1996)
130,55999.0,5.0,Mr. Magorium's Wonder Emporium (2007)
131,68690.0,5.0,Love Songs (Les chansons d'amour) (2007)
132,69458.0,5.0,Tyson (2008)
133,981.0,5.0,Dangerous Ground (1997)
134,69604.0,5.0,Whatever Works (2009)
135,985.0,5.0,Small Wonders (1995)
136,989.0,5.0,Brother of Sleep (Schlafes Bruder) (1995)
137,70062.0,5.0,Judas Kiss (1998)
138,70208.0,5.0,"Perfect Getaway, A (2009)"
139,666.0,5.0,All Things Fair (Lust och fägring stor) (1995)
140,52378.0,5.0,No Way Out (1950)
141,70488.0,5.0,Wings of Hope (Julianes Sturz in den Dschungel) (2000)
142,52153.0,5.0,"Five Pennies, The (1959)"
143,1040.0,5.0,"Secret Agent, The (1996)"
144,713.0,5.0,Of Love and Shadows (1994)
145,1045.0,5.0,Love Is All There Is (1996)
146,1046.0,5.0,Beautiful Thing (1996)
147,50954.0,5.0,It's a Boy Girl Thing (2006)
148,1052.0,5.0,"Proprietor, The (1996)"
149,1062.0,5.0,"Sunchaser, The (1996)"
150,71472.0,5.0,"Cameraman's Revenge, The (Mest kinematograficheskogo operatora) (1912)"
151,71490.0,5.0,Grace (2009)
152,1063.0,5.0,Johns (1996)
153,50651.0,5.0,Kenny (2006)
154,50162.0,5.0,Arthur and the Invisibles (2007)
155,50066.0,5.0,Sweet Land (2005)
156,71823.0,5.0,"New York, I Love You (2009)"
157,49389.0,5.0,The Great Train Robbery (1903)
158,56693.0,5.0,Close My Eyes (1991)
159,895.0,5.0,Venice/Venice (1992)
160,81641.0,5.0,Fair Game (2010)
161,60289.0,5.0,Kit Kittredge: An American Girl (2008)
162,794.0,5.0,Midnight Dancers (Sibak) (1994)
163,797.0,5.0,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)"
164,62553.0,5.0,"Secret Life of Bees, The (2008)"
165,803.0,5.0,Walking and Talking (1996)
166,62198.0,5.0,Marjoe (1972)
167,816.0,5.0,Two Deaths (1995)
168,821.0,5.0,"Crude Oasis, The (1995)"
169,822.0,5.0,Hedd Wyn (1992)
